iter	Passed	Remaining
0	133	133683
1	135	67837
2	137	45821
3	138	34545
4	140	27863
5	141	23512
6	143	20381
7	144	17947
8	146	16080
9	146	14512
10	147	13300
11	148	12249
12	149	11355
13	150	10580
14	151	9943
15	152	9360
16	153	8868
17	154	8419
18	155	8050
19	156	7684
20	158	7366
21	159	7068
22	160	6814
23	161	6554
24	162	6319
25	163	6107
26	163	5908
27	164	5724
28	165	5545
29	166	5377
30	167	5228
31	168	5084
32	168	4947
33	169	4823
34	170	4700
35	171	4583
36	171	4471
37	172	4368
38	173	4270
39	174	4176
40	174	4085
41	175	3996
42	175	3910
43	176	3830
44	176	3753
45	177	3680
46	177	3609
47	178	3540
48	179	3477
49	179	3414
50	180	3355
51	180	3298
52	181	3243
53	182	3190
54	182	3139
55	183	3092
56	184	3044
57	184	2998
58	185	2953
59	185	2908
60	186	2867
61	186	2826
62	187	2786
63	188	2749
64	188	2714
65	189	2678
66	189	2643
67	190	2608
68	190	2575
69	191	2543
70	192	2513
71	192	2482
72	193	2452
73	193	2423
74	194	2395
75	194	2368
76	195	2341
77	195	2316
78	196	2290
79	197	2265
80	197	2241
81	198	2220
82	198	2194
83	199	2172
84	199	2149
85	200	2130
86	201	2109
87	201	2089
88	202	2069
89	202	2050
90	203	2031
91	203	2012
92	204	1994
93	205	1976
94	205	1958
95	206	1942
96	206	1925
97	207	1908
98	207	1892
99	208	1877
100	209	1861
101	209	1846
102	210	1831
103	210	1817
104	211	1803
105	212	1791
106	213	1778
107	214	1768
108	214	1754
109	215	1742
110	215	1729
111	216	1716
112	217	1703
113	217	1691
114	218	1678
115	218	1667
116	219	1654
117	219	1642
118	220	1635
119	221	1624
120	222	1613
121	222	1601
122	223	1590
123	223	1580
124	224	1570
125	224	1559
126	225	1548
127	225	1538
128	226	1527
129	227	1519
130	227	1511
131	228	1503
132	229	1496
133	230	1488
134	230	1479
135	231	1470
136	231	1461
137	232	1452
138	233	1443
139	233	1434
140	234	1426
141	234	1416
142	234	1408
143	235	1399
144	236	1391
145	236	1383
146	237	1376
147	237	1368
148	238	1360
149	238	1353
150	239	1345
151	239	1338
152	240	1331
153	241	1324
154	241	1317
155	242	1310
156	242	1303
157	243	1297
158	244	1292
159	245	1286
160	245	1279
161	246	1272
162	247	1268
163	247	1262
164	248	1255
165	248	1249
166	249	1243
167	249	1237
168	250	1230
169	250	1224
170	251	1219
171	251	1213
172	252	1207
173	253	1201
174	253	1196
175	254	1190
176	254	1184
177	255	1179
178	255	1173
179	256	1168
180	256	1162
181	257	1157
182	257	1151
183	258	1147
184	259	1142
185	260	1139
186	260	1134
187	261	1129
188	262	1124
189	262	1119
190	263	1114
191	263	1109
192	264	1104
193	264	1099
194	265	1095
195	265	1090
196	266	1086
197	267	1081
198	267	1077
199	268	1073
200	268	1069
201	269	1064
202	270	1060
203	270	1056
204	271	1052
205	272	1048
206	272	1045
207	273	1041
208	274	1037
209	275	1034
210	275	1031
211	276	1027
212	277	1023
213	277	1019
214	278	1015
215	278	1011
216	279	1008
217	280	1005
218	280	1001
219	281	997
220	282	994
221	282	990
222	283	986
223	283	982
224	284	979
225	284	975
226	285	972
227	286	968
228	286	965
229	287	961
230	287	958
231	288	955
232	289	951
233	289	948
234	290	945
235	290	941
236	291	938
237	291	934
238	292	931
239	293	927
240	293	924
241	294	922
242	294	918
243	295	915
244	296	912
245	296	909
246	297	906
247	297	903
248	298	899
249	298	896
250	299	893
251	300	890
252	300	887
253	301	885
254	301	882
255	302	879
256	303	876
257	303	873
258	304	871
259	305	870
260	306	868
261	307	866
262	308	864
263	309	861
264	309	858
265	310	855
266	310	853
267	311	850
268	311	847
269	312	845
270	313	842
271	314	840
272	314	837
273	315	835
274	315	832
275	316	831
276	318	831
277	319	830
278	320	827
279	321	825
280	321	822
281	322	820
282	322	817
283	323	815
284	324	813
285	324	811
286	325	808
287	326	806
288	326	804
289	327	802
290	328	799
291	328	797
292	329	795
293	330	792
294	330	790
295	331	788
296	332	786
297	333	784
298	334	783
299	334	781
300	335	779
301	336	777
302	337	776
303	337	773
304	338	771
305	339	769
306	340	767
